participant,kata_id,treatment,path,loc,cyclomatic_complexity_avg,cc_mi_tool,cc_mi_tool_version,maintainability_index,duplicated_lines,duplicated_lines_percent,duplicate_blocks,total_lines,duplication_tool,duplication_tool_version
Guilherme,kata-04,without_ai,katas/participants/guilherme/kata_04,24,14.0,radon,6.0.1,54.19,0,0.0,0,23,jscpd,4.0.5
Guilherme,kata-05,without_ai,katas/participants/guilherme/kata_05,9,4.0,radon,6.0.1,64.74,0,0.0,0,8,jscpd,4.0.5
Guilherme,kata-06,without_ai,katas/participants/guilherme/kata_06,17,8.0,radon,6.0.1,56.99,0,0.0,0,16,jscpd,4.0.5
Marcos,kata-01,without_ai,katas/participants/marcos/kata_01,21,4.0,radon,6.0.1,81.77,0,0.0,0,20,jscpd,4.0.5
Marcos,kata-02,without_ai,katas/participants/marcos/kata_02,32,9.0,radon,6.0.1,77.93,0,0.0,0,31,jscpd,4.0.5
Marcos,kata-03,without_ai,katas/participants/marcos/kata_03,34,7.0,radon,6.0.1,79.44,0,0.0,0,33,jscpd,4.0.5
Marcos,kata-04,with_ai,katas/participants/marcos/kata_04,25,10.0,radon,6.0.1,77.88,0,0.0,0,24,jscpd,4.0.5
Marcos,kata-05,with_ai,katas/participants/marcos/kata_05,9,4.0,radon,6.0.1,84.45,0,0.0,0,8,jscpd,4.0.5
Marcos,kata-06,with_ai,katas/participants/marcos/kata_06,15,5.0,radon,6.0.1,80.71,0,0.0,0,14,jscpd,4.0.5
Arthur,kata-01,with_ai,katas/participants/arthur/kata_01,13,5.0,radon,6.0.1,81.64,0,0.0,0,12,jscpd,4.0.5
Arthur,kata-03,with_ai,katas/participants/arthur/kata_03,14,7.0,radon,6.0.1,81.87,0,0.0,0,13,jscpd,4.0.5
Arthur,kata-05,with_ai,katas/participants/arthur/kata_05,10,5.0,radon,6.0.1,82.55,0,0.0,0,9,jscpd,4.0.5
Arthur,kata-02,without_ai,katas/participants/arthur/kata_02,18,8.0,radon,6.0.1,79.42,0,0.0,0,17,jscpd,4.0.5
Arthur,kata-04,without_ai,katas/participants/arthur/kata_04,39,11.0,radon,6.0.1,76.45,0,0.0,0,38,jscpd,4.0.5
Arthur,kata-06,without_ai,katas/participants/arthur/kata_06,18,5.0,radon,6.0.1,80.71,0,0.0,0,17,jscpd,4.0.5
