metric,metric_key,unit,treatment,n,median,q1,q3,iqr,min,max
LOC,loc,linhas,without_ai,9,21.0,18.0,32.0,14.0,9.0,39.0
LOC,loc,linhas,with_ai,9,14.0,10.0,14.0,4.0,7.0,25.0
CC,cyclomatic_complexity_avg,adimensional,without_ai,9,8.0,5.0,9.0,4.0,4.0,14.0
CC,cyclomatic_complexity_avg,adimensional,with_ai,9,5.0,5.0,7.0,2.0,4.0,10.0
MI,maintainability_index,0–100,without_ai,9,77.93,64.74,79.44,14.700000000000003,54.19,81.77
MI,maintainability_index,0–100,with_ai,9,80.71,67.92,81.87,13.950000000000003,59.13,84.45
Duplicação,duplicated_lines_percent,% de linhas,without_ai,9,0.0,0.0,0.0,0.0,0.0,0.0
Duplicação,duplicated_lines_percent,% de linhas,with_ai,9,0.0,0.0,0.0,0.0,0.0,0.0
MI (harmonizado),maintainability_index_harmonized,0–100,without_ai,9,58.85,55.86,61.43,5.57,52.9,64.74
MI (harmonizado),maintainability_index_harmonized,0–100,with_ai,9,63.75,61.43,65.11,3.6799999999999997,55.76,68.91
CC/LOC,cc_per_loc,complexidade por linha,without_ai,9,0.28205128205128205,0.2777777777777778,0.4444444444444444,0.16666666666666663,0.19047619047619047,0.5833333333333334
CC/LOC,cc_per_loc,complexidade por linha,with_ai,9,0.4444444444444444,0.38461538461538464,0.5,0.11538461538461536,0.2857142857142857,0.8571428571428571
Linhas duplicadas/LOC,duplicated_lines_per_loc,fração de linhas,without_ai,9,0.0,0.0,0.0,0.0,0.0,0.0
Linhas duplicadas/LOC,duplicated_lines_per_loc,fração de linhas,with_ai,9,0.0,0.0,0.0,0.0,0.0,0.0
